"Series, GDP(P), Chain volume, Seasonally adjusted, Total (Qrtly-Mar/Jun/Sep/Dec)",""
"","Gross Domestic Product - production measure"
"1987Q2",27980
"1987Q3",28133
"1987Q4",28265
"1988Q1",28157
"1988Q2",28023
"1988Q3",28086
"1988Q4",27838
"1989Q1",28193
"1989Q2",28359
"1989Q3",28039
"1989Q4",27985
"1990Q1",27937
"1990Q2",27934
"1990Q3",28186
"1990Q4",28518
"1991Q1",27828
"1991Q2",27639
"1991Q3",27726
"1991Q4",27906
"1992Q1",27985
"1992Q2",27983
"1992Q3",27781
"1992Q4",28127
"1993Q1",28587
"1993Q2",29220
"1993Q3",29811
"1993Q4",30089
"1994Q1",30549
"1994Q2",30754
"1994Q3",31279
"1994Q4",31689
"1995Q1",32071
"1995Q2",32488
"1995Q3",32786
"1995Q4",33007
"1996Q1",33464
"1996Q2",33765
"1996Q3",33984
"1996Q4",34435
"1997Q1",34308
"1997Q2",34988
"1997Q3",34895
"1997Q4",34820
"1998Q1",34613
"1998Q2",34785
"1998Q3",34840
"1998Q4",35187
"1999Q1",35601
"1999Q2",35901
"1999Q3",36894
"1999Q4",37354
"2000Q1",37897
"2000Q2",37916
"2000Q3",38064
"2000Q4",38139
"2001Q1",38269
"2001Q2",38813
"2001Q3",39111
"2001Q4",39693
"2002Q1",40047
"2002Q2",40584
"2002Q3",41037
"2002Q4",41590
"2003Q1",41831
"2003Q2",42015
"2003Q3",42893
"2003Q4",43446
"2004Q1",44191
"2004Q2",44592
"2004Q3",44693
"2004Q4",44859
"2005Q1",45374
"2005Q2",46125
"2005Q3",46311
"2005Q4",46146
"2006Q1",46908
"2006Q2",47154
"2006Q3",47443
"2006Q4",47817
"2007Q1",48331
"2007Q2",48771
"2007Q3",49212
"2007Q4",49361
"2008Q1",49242
"2008Q2",49029
"2008Q3",48908
"2008Q4",48552
"2009Q1",48085
"2009Q2",48033
"2009Q3",48308
"2009Q4",48908
"2010Q1",49005
"2010Q2",49424
"2010Q3",49303
"2010Q4",49056
"2011Q1",49520
"2011Q2",49883
"2011Q3",50372
"2011Q4",50607
"2012Q1",51058
"2012Q2",51206
"2012Q3",51252
"2012Q4",51973
"2013Q1",51998
"2013Q2",52445
"2013Q3",52825
"2013Q4",52930
"2014Q1",53690
"2014Q2",53940
"2014Q3",54606
"2014Q4",55414
"2015Q1",55590
"2015Q2",56030
"2015Q3",56572
"2015Q4",57109
"2016Q1",57813
"2016Q2",58363
"2016Q3",58901
"2016Q4",59085
"2017Q1",59553
"2017Q2",60175
"2017Q3",60632
"2017Q4",61050
"2018Q1",61504
"2018Q2",62076
"2018Q3",62436
"2018Q4",63073
"2019Q1",63355
"2019Q2",63368
"2019Q3",63866
"2019Q4",64203
"Table information:"
"Units:"
"$, Magnitude = Millions"
""
"Footnotes:"
"Chain-volume series expressed in 2009/10 prices."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"SNE070AA"
""
"Last updated:"
"19 March 2020 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
